일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/04/20","3766.89","-0.89","-0.02","3767.98","3786.12","3754.54","15690.0","742639.0","1.23814574E8"
"2022/04/19","3767.78","128.60","3.53","3677.67","3768.26","3672.97","24164.0","925183.0","1.23827053E8"
"2022/04/18","3639.18","18.08","0.50","3593.78","3650.07","3591.00","12647.0","647375.0","1.19841697E8"
"2022/04/15","3621.10","-33.40","-0.91","3611.03","3624.22","3580.21","16386.0","878927.0","1.18966381E8"
"2022/04/14","3654.50","-18.34","-0.50","3680.41","3680.47","3631.85","15075.0","828033.0","1.20702561E8"
"2022/04/13","3672.84","66.09","1.83","3619.82","3672.84","3599.08","14468.0","711715.0","1.22870175E8"
"2022/04/12","3606.75","6.49","0.18","3573.94","3618.81","3566.87","12766.0","639075.0","1.20693061E8"
"2022/04/11","3600.26","-46.73","-1.28","3617.21","3655.56","3589.90","11145.0","543106.0","1.2093266E8"
"2022/04/08","3646.99","6.74","0.19","3652.52","3655.19","3601.25","13611.0","774518.0","1.21892518E8"
"2022/04/07","3640.25","-1.14","-0.03","3599.96","3646.11","3581.24","16327.0","882743.0","1.22716974E8"
"2022/04/06","3641.39","-99.81","-2.67","3692.67","3697.39","3636.25","16110.0","904450.0","1.22416217E8"
"2022/04/05","3741.20","18.90","0.51","3740.57","3767.86","3726.03","15537.0","545520.0","1.26023655E8"
"2022/04/04","3722.30","11.97","0.32","3695.03","3725.87","3675.45","12419.0","550471.0","1.26077012E8"
"2022/04/01","3710.33","-64.03","-1.70","3745.95","3745.95","3705.60","12132.0","732341.0","1.25266815E8"
"2022/03/31","3774.36","-20.09","-0.53","3765.52","3783.85","3755.27","13847.0","868672.0","1.27400443E8"
"2022/03/30","3794.45","1.96","0.05","3840.33","3851.94","3777.22","17414.0","815954.0","1.29560901E8"
"2022/03/29","3792.49","38.97","1.04","3782.84","3793.63","3759.01","16978.0","767633.0","1.28886071E8"
"2022/03/28","3753.52","-0.38","-0.01","3742.06","3785.47","3730.20","15424.0","753887.0","1.27064777E8"
"2022/03/25","3753.90","2.56","0.07","3799.49","3805.21","3753.53","18243.0","1084868.0","1.27068929E8"
"2022/03/24","3751.34","12.51","0.33","3705.60","3756.20","3690.57","13440.0","829123.0","1.28609543E8"
"2022/03/23","3738.83","15.22","0.41","3747.39","3754.42","3715.65","13542.0","836115.0","1.30373799E8"
"2022/03/22","3723.61","47.12","1.28","3672.95","3727.65","3665.37","13255.0","608804.0","1.30196327E8"
"2022/03/21","3676.49","-9.69","-0.26","3702.04","3714.29","3668.77","14176.0","807573.0","1.28618407E8"
"2022/03/18","3686.18","41.18","1.13","3643.42","3693.28","3622.29","18909.0","959955.0","1.30054084E8"
"2022/03/17","3645.00","115.47","3.27","3615.22","3659.63","3615.22","22735.0","1346826.0","1.29455491E8"
"2022/03/16","3529.53","112.33","3.29","3492.71","3529.67","3460.41","13391.0","728694.0","1.23085704E8"
"2022/03/15","3417.20","-39.47","-1.14","3434.14","3450.07","3413.69","10979.0","626790.0","1.18965939E8"
"2022/03/14","3456.67","-80.96","-2.29","3516.99","3524.62","3430.90","13724.0","680199.0","1.21747898E8"
"2022/03/11","3537.63","-41.62","-1.16","3569.15","3576.19","3515.73","13368.0","663477.0","1.23491907E8"
